name,role,manufacturer,device_type,platform,site,location,rack,position,face,status,airflow,tenant,serial,asset_tag,description,comments
FW-01,Firewall,Fortinet,FortiGate 100F,FortiOS 7.4,Sprintpark HQ,Ground Floor Comms Room,RACK-02,42,front,active,front-to-rear,Sprintpark IT,DEMO42FG-1,SPK-RACK-02-U42,Firewall at shelf 42,Example data for demonstration. Not observed equipment.
FW-02,Firewall,Fortinet,FortiGate 100F,FortiOS 7.4,Sprintpark HQ,Ground Floor Comms Room,RACK-02,41,front,active,front-to-rear,Sprintpark IT,DEMO41FG-1,SPK-RACK-02-U41,Firewall at shelf 41,Example data for demonstration. Not observed equipment.
RTR-01,Router,Cisco,ISR 4331,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-02,40,front,active,front-to-rear,Sprintpark IT,DEMO40ISR4,SPK-RACK-02-U40,Router at shelf 40,Example data for demonstration. Not observed equipment.
RTR-02,Router,Cisco,ISR 4331,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-02,39,front,active,front-to-rear,Sprintpark IT,DEMO39ISR4,SPK-RACK-02-U39,Router at shelf 39,Example data for demonstration. Not observed equipment.
CORE-01,Core Switch,Cisco,Catalyst 9300-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-02,38,front,active,front-to-rear,Sprintpark IT,DEMO38C930,SPK-RACK-02-U38,Core Switch at shelf 38,Example data for demonstration. Not observed equipment.
CORE-02,Core Switch,Cisco,Catalyst 9300-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-02,37,front,active,front-to-rear,Sprintpark IT,DEMO37C930,SPK-RACK-02-U37,Core Switch at shelf 37,Example data for demonstration. Not observed equipment.
PP-01,Patch Panel,Generic,24-Port Patch Panel,,Sprintpark HQ,Ground Floor Comms Room,RACK-02,36,front,active,passive,Sprintpark IT,DEMO36PP-2,SPK-RACK-02-U36,Patch Panel at shelf 36,Example data for demonstration. Not observed equipment.
PP-02,Patch Panel,Generic,24-Port Patch Panel,,Sprintpark HQ,Ground Floor Comms Room,RACK-02,35,front,active,passive,Sprintpark IT,DEMO35PP-2,SPK-RACK-02-U35,Patch Panel at shelf 35,Example data for demonstration. Not observed equipment.
PP-03,Patch Panel,Generic,24-Port Patch Panel,,Sprintpark HQ,Ground Floor Comms Room,RACK-02,34,front,active,passive,Sprintpark IT,DEMO34PP-2,SPK-RACK-02-U34,Patch Panel at shelf 34,Example data for demonstration. Not observed equipment.
PP-04,Patch Panel,Generic,24-Port Patch Panel,,Sprintpark HQ,Ground Floor Comms Room,RACK-02,33,front,active,passive,Sprintpark IT,DEMO33PP-2,SPK-RACK-02-U33,Patch Panel at shelf 33,Example data for demonstration. Not observed equipment.
ACC-01,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-02,32,front,active,front-to-rear,Sprintpark IT,DEMO32C920,SPK-RACK-02-U32,Access Switch at shelf 32,Example data for demonstration. Not observed equipment.
ACC-02,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-02,31,front,active,front-to-rear,Sprintpark IT,DEMO31C920,SPK-RACK-02-U31,Access Switch at shelf 31,Example data for demonstration. Not observed equipment.
ACC-03,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-02,30,front,active,front-to-rear,Sprintpark IT,DEMO30C920,SPK-RACK-02-U30,Access Switch at shelf 30,Example data for demonstration. Not observed equipment.
ACC-04,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-02,29,front,active,front-to-rear,Sprintpark IT,DEMO29C920,SPK-RACK-02-U29,Access Switch at shelf 29,Example data for demonstration. Not observed equipment.
ACC-05,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-02,28,front,active,front-to-rear,Sprintpark IT,DEMO28C920,SPK-RACK-02-U28,Access Switch at shelf 28,Example data for demonstration. Not observed equipment.
ACC-06,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-02,27,front,active,front-to-rear,Sprintpark IT,DEMO27C920,SPK-RACK-02-U27,Access Switch at shelf 27,Example data for demonstration. Not observed equipment.
ACC-07,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-02,26,front,active,front-to-rear,Sprintpark IT,DEMO26C920,SPK-RACK-02-U26,Access Switch at shelf 26,Example data for demonstration. Not observed equipment.
ACC-08,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-02,25,front,active,front-to-rear,Sprintpark IT,DEMO25C920,SPK-RACK-02-U25,Access Switch at shelf 25,Example data for demonstration. Not observed equipment.
ACC-09,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-02,24,front,active,front-to-rear,Sprintpark IT,DEMO24C920,SPK-RACK-02-U24,Access Switch at shelf 24,Example data for demonstration. Not observed equipment.
ACC-10,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-02,23,front,active,front-to-rear,Sprintpark IT,DEMO23C920,SPK-RACK-02-U23,Access Switch at shelf 23,Example data for demonstration. Not observed equipment.
ACC-11,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-02,22,front,active,front-to-rear,Sprintpark IT,DEMO22C920,SPK-RACK-02-U22,Access Switch at shelf 22,Example data for demonstration. Not observed equipment.
ACC-12,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-02,21,front,active,front-to-rear,Sprintpark IT,DEMO21C920,SPK-RACK-02-U21,Access Switch at shelf 21,Example data for demonstration. Not observed equipment.
ACC-13,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-02,20,front,active,front-to-rear,Sprintpark IT,DEMO20C920,SPK-RACK-02-U20,Access Switch at shelf 20,Example data for demonstration. Not observed equipment.
