name,role,manufacturer,device_type,platform,site,location,rack,position,face,status,tenant,serial,asset_tag,description,comments
R03-CORE-01,Core Switch,Cisco,Catalyst 9300-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-03,12,front,active,Sprintpark IT,DEMO-R03-CORE-01,SPK-RACK-03-U12F,,Example data for demonstration. Not observed equipment.
R03-ACC-01,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-03,9,front,active,Sprintpark IT,DEMO-R03-ACC-01,SPK-RACK-03-U09F,,Example data for demonstration. Not observed equipment.
R03-ACC-02,Access Switch,Cisco,Catalyst 9200-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-03,8,front,active,Sprintpark IT,DEMO-R03-ACC-02,SPK-RACK-03-U08F,,Example data for demonstration. Not observed equipment.
R03-PP-01,Patch Panel,Generic,24-Port Patch Panel,,Sprintpark HQ,Ground Floor Comms Room,RACK-03,6,front,active,Sprintpark IT,DEMO-R03-PP-01,SPK-RACK-03-U06F,,Example data for demonstration. Not observed equipment.
R03-PP-02,Patch Panel,Generic,24-Port Patch Panel,,Sprintpark HQ,Ground Floor Comms Room,RACK-03,5,front,active,Sprintpark IT,DEMO-R03-PP-02,SPK-RACK-03-U05F,,Example data for demonstration. Not observed equipment.
R03-OOB-01,Console Server,Opengear,OpenGear CM8148,Opengear 23.03,Sprintpark HQ,Ground Floor Comms Room,RACK-03,3,front,active,Sprintpark IT,DEMO-R03-OOB-01,SPK-RACK-03-U03F,,Example data for demonstration. Not observed equipment.
R03-PDU-A,Power Distribution,APC,AP8853 Rack PDU,,Sprintpark HQ,Ground Floor Comms Room,RACK-03,2,front,active,Sprintpark IT,DEMO-R03-PDU-A,SPK-RACK-03-U02F,,Example data for demonstration. Not observed equipment.
R03-PDU-B,Power Distribution,APC,AP8853 Rack PDU,,Sprintpark HQ,Ground Floor Comms Room,RACK-03,1,front,active,Sprintpark IT,DEMO-R03-PDU-B,SPK-RACK-03-U01F,,Example data for demonstration. Not observed equipment.
R04-STACK-01-SW1,Access Switch,Cisco,Catalyst 9300-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-04,40,front,active,Sprintpark IT,DEMO-R04-STACK-01-SW1,SPK-RACK-04-U40F,"Member 1 of stack R04-STACK-01. Four boxes, one logical switch",Example data for demonstration. Not observed equipment.
R04-STACK-01-SW2,Access Switch,Cisco,Catalyst 9300-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-04,39,front,active,Sprintpark IT,DEMO-R04-STACK-01-SW2,SPK-RACK-04-U39F,"Member 2 of stack R04-STACK-01. Four boxes, one logical switch",Example data for demonstration. Not observed equipment.
R04-STACK-01-SW3,Access Switch,Cisco,Catalyst 9300-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-04,38,front,active,Sprintpark IT,DEMO-R04-STACK-01-SW3,SPK-RACK-04-U38F,"Member 3 of stack R04-STACK-01. Four boxes, one logical switch",Example data for demonstration. Not observed equipment.
R04-STACK-01-SW4,Access Switch,Cisco,Catalyst 9300-48P,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-04,37,front,active,Sprintpark IT,DEMO-R04-STACK-01-SW4,SPK-RACK-04-U37F,"Member 4 of stack R04-STACK-01. Four boxes, one logical switch",Example data for demonstration. Not observed equipment.
R04-CHASSIS-01,Core Switch,Cisco,Catalyst 9407R,Cisco IOS-XE 17,Sprintpark HQ,Ground Floor Comms Room,RACK-04,30,front,active,Sprintpark IT,DEMO-R04-CHASSIS-01,SPK-RACK-04-U30F,"Four shelves, U30 to U33. Its lowest shelf is the position",Example data for demonstration. Not observed equipment.
R04-SRV-01,Server,Dell,PowerEdge R750,Ubuntu 24.04,Sprintpark HQ,Ground Floor Comms Room,RACK-04,26,front,active,Sprintpark IT,DEMO-R04-SRV-01,SPK-RACK-04-U26F,"Two shelves, U26 and U27",Example data for demonstration. Not observed equipment.
